ticker,name,asset_class,n_obs,adf_stat,adf_pvalue,used_lag,crit_1pct,crit_5pct,crit_10pct,stationary_5pct
^TNX,10Y Treasury Yield,rate,1802,-8.104499486269438,1.2735674820915096e-12,19,-3.4339840952648695,-2.8631452508003057,-2.567624583142913,true
CL=F,Crude Oil,commodity,1800,-9.48280838272589,3.832391291542877e-16,21,-3.4339881389288407,-2.863147035877915,-2.567625533641975,true
^GSPC,S&P 500,equity_index,1812,-13.462482314956953,3.5078611660733993e-25,9,-3.4339640110318004,-2.8631363845692475,-2.567619862152732,true
XLF,Financials Sector ETF,sector_etf,1812,-13.593962565319805,2.0116706477486814e-25,9,-3.4339640110318004,-2.8631363845692475,-2.567619862152732,true
GC=F,Gold,commodity,1812,-13.839128339512133,7.348193378202281e-26,9,-3.4339640110318004,-2.8631363845692475,-2.567619862152732,true
^IXIC,Nasdaq,equity_index,1813,-14.04787563904569,3.2164727027902454e-26,8,-3.433962014811523,-2.86313550332995,-2.5676193929209554,true
^NSEI,Nifty 50,equity_index,1815,-14.666768058143534,3.314934225900972e-27,6,-3.4339580289794225,-2.8631337437669275,-2.567618456010139,true
XLE,Energy Sector ETF,sector_etf,1815,-15.29982092478464,4.328048540063281e-28,6,-3.4339580289794225,-2.8631337437669275,-2.567618456010139,true
EURUSD=X,EUR/USD,currency,1815,-18.669742486169994,2.0450466293269344e-30,6,-3.4339580289794225,-2.8631337437669275,-2.567618456010139,true
NG=F,Natural Gas,commodity,1820,-30.168121814536782,0.0,1,-3.4339481027788024,-2.8631293617920544,-2.5676161227508754,true
JPY=X,USD/JPY,currency,1821,-43.23432819031938,0.0,0,-3.4339461240890983,-2.8631284882870625,-2.5676156576381293,true
INR=X,USD/INR,currency,1821,-49.233643515629,0.0,0,-3.4339461240890983,-2.8631284882870625,-2.5676156576381293,true
JETS,US Global Jets (Airlines) ETF,sector_etf,1817,-19.380970115623285,0.0,4,-3.4339540519343137,-2.863131988080628,-2.5676175211639354,true
